date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price,power cut schedule,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2018-10-01,45,0,54,29,34,0,53,61,28,34,33,48,53,47,18,47,49,35,73,18,23,24,37,45,23,40,2,29,27,39,0,0,0,15,24,0,73,38,0,33,1,10,55,1
2018-11-01,43,0,80,23,32,0,30,64,27,35,51,45,50,46,28,36,52,36,69,14,12,29,33,36,14,38,2,32,44,31,0,0,11,12,28,0,32,26,0,31,1,19,79,23
2018-12-01,45,0,56,0,27,0,40,73,24,35,31,47,34,49,19,35,44,33,62,14,11,27,35,35,15,33,2,28,35,44,0,0,0,17,23,0,32,25,0,24,1,19,69,21
2019-01-01,53,0,61,0,34,0,34,84,30,37,30,52,51,44,25,55,51,38,77,19,29,35,30,34,18,45,3,31,42,52,81,0,16,24,28,0,24,0,0,30,2,17,80,30
2019-02-01,49,0,66,0,35,0,0,85,30,33,45,46,47,43,24,54,46,38,76,20,25,34,33,37,19,39,2,30,22,40,0,0,16,28,24,0,25,28,0,30,2,23,80,36
2019-03-01,46,0,49,0,35,0,0,67,33,30,37,49,52,46,32,39,44,36,94,20,15,27,36,40,19,41,3,32,42,42,0,0,16,24,21,0,35,42,0,30,1,17,84,36
2019-04-01,50,67,56,33,30,0,0,62,35,33,37,49,33,50,28,56,47,40,76,23,38,38,42,48,26,42,4,33,24,36,0,0,15,34,0,77,55,58,0,27,1,19,87,33
2019-05-01,55,0,60,19,31,0,39,70,34,35,33,54,58,50,38,45,53,41,76,25,26,38,36,51,26,41,5,39,0,42,0,0,14,27,38,0,75,38,0,41,0,36,86,37
2019-06-01,48,50,50,0,31,0,77,76,33,44,45,65,54,52,37,46,50,47,68,36,27,30,27,60,25,38,4,41,32,56,0,0,18,27,19,0,98,52,0,35,1,100,96,38
2019-07-01,49,0,44,0,33,0,85,69,34,38,32,69,36,54,33,45,41,47,70,41,20,36,21,67,38,42,6,37,56,45,0,0,20,23,23,0,84,67,0,29,0,93,90,36
